(gán)	檊
(phố)	怖
Lục	錄	錄
Nghạch	頟
Nghệch	頟
Sột	箻
a	丫	亞	啊	婀	妸	桠	椏	疴	錒	锕	阿	鵶	鴉	鸦
ai	哀	唉	埃	挨	鎄	锿
am	庵	盦	菴	諳	谙	鵪	鹌
an	安	桉	氨	胺	銨	铵	鞍	鞌	鮟	𩽾
ang	垵	坱	盎
anh	嚶	嬰	婴	櫻	樱	纓	缨	罌	罂	英	鸚	鹦	鶯	鶧	莺
ao	𪵲	凹	呦	坳	㘭	泑	鏖
au	區	泑
ba	𠀧	吧	巴	波	爬	疤	笆	葩	芭	菠	蚆	豝	鈀	钯	爸
bai	𠾦	𠸟	𢴾	排
ban	半	搬	扳	班	斑	瘢	癍	胖	般	頒	颁
bang	乓	幫	帮	挷	幚	梆	謗	邦
banh	兵	捠	抨	浜	烹	綳	绷
bao	刨	包	勹	褒	襃	龅
bay	𫅫	𫅰	𠖤	悲	排	拜	蜚	𨭍	𩙻	飛
be	𫇟	𠾦	𠻻	𣛥	𤮑	𨼚	陂
ben	𤶒	邊
beng	鋲
beo	𧴋	𧲼	豹
bi	啤	悲	碑	醊
bia	碑	𨡕	醊
binh	乒	兵	梹
bioóc	𫇥
biêm	砭
biên	編	编	蹁	邊	边
biêng	梹
biìm	砭
biếc	碧
biếm	窆	貶	贬
biến	变	徧	藊	萹	變	遍
biếng	丙	怲
biết	𪿍	別	癟	瘪	虌	蹩	鳖	鱉
biếu	俵	𠾷	𤷶	裱	𧶫
biền	𫑆	便	弁	昪	胼	諞	谝	騙	駢	骈
biều	瓢	䕯
biển	匾	扁	𤅶	㴜	𣷷	汴	𣷭	煸	蝙	褊	騙	骗	鯿
biểu	俵	𠶓	婊	裱	表	錶	鰾	鳔
biện	办	卞	忭	抃	拚	𥶁	緶	瓣	辮	辨	辦	辯
biệt	別	别	𨡊
bo	剖	圃	甫	脯	逋
bon	奔	𨁼
bong	𢶻	𤂧	篷	蓬
boong	葻
bu	哺	𡜵	蚼
